id,Nombre del Proyecto,Descripcion,Fecha de inicio,Fecha de Fin,Presupuesto,Estado
1,Plataforma de Gestion Empresarial,Sistema de gestion de recursos empresariales para mejorar la eficiencia operativa,13-10-2023,17-04-2025,500000,Activo                                                                                 
2,Sistema de Planificacion de Recursos,Desarrollo de un sistema avanzado de planificacion de recursos empresariales,17-07-2023,18-05-2025,600000,Cancelado                                                                      
3,Sistema de Informacion Epidemiologica,Plataforma para el seguimiento y analisis de datos epidemiologicos,	14-06-2023,02-02-2024,700000,Activo                                                        
4,Red de Transporte Publico,Mejora y ampliacion de la infraestructura de transporte publico,30-03-2023,24-07-2023,800000,Activo                                                        
5,Royal Guard Tales,La mejor obra de ficcion jamas creada,06-06-2021,03-02-2030,900000,Activo                                                                                                     
6,Laboratorio de Microbiologia,Investigacion y desarrollo en microbiologiÂ­a aplicada,13-07-2023,07-10-2025,1000000,Activo                                                                                                        
7,Planificacion de Sucesion,Desarrollo de un sistema para la planificacion de la sucesion en empresas,01-01-2023,20-05-2023,2000000,Activo                                                        
8,Sistema de Gestion de Documentos,Desarrollo de un sistema para la gestion y archivo de documento,06-09-2023,19-05-2023,3000000,Finalizado                                                      
9,Investigacion de Trastornos del Sueno,Estudio y tratamiento de diversos trastornos del sueno,23-05-2023,03-08-2023,4000000,Finalizado                                                        
10,Sistema de Incendios Externos,Desarrollo de un sistema avanzado de prevencion y control de incendios,14-02-2023,03-04-2023,5000000,Cancelado  
